ZTFJ000605.31+102155.2   3048   1.52214  10.36535   0.3154677  0.242 3.894 58313.4674755 14.827 14.741     0.3154677     0.3154607   52   50  0.242  0.306 3.894 4.079  0.993  0.988 0.562 0.402   -6.633   -5.628 RRc   0.000 0.000 
ZTFJ000617.88+061752.6   3149   1.57452   6.29797   0.3993562  0.076 5.784 58437.2405562 14.041 13.863     0.3993562     0.3993079   87   88  0.076  0.046 5.784 4.166  0.985  0.972 0.499 0.357  -13.879  -12.110 RRc   0.000 0.000 
ZTFJ000619.29-033036.5   3156   1.58041  -3.51016   0.2875651  0.167 4.240 58655.4808581 16.632 16.551     0.2875729     0.2875651   43   41  0.100  0.167 4.452 4.240  0.977  0.985 0.406 0.296   -5.009   -4.768 RRc   0.000 0.000 
ZTFJ000623.00+313556.0   3189   1.59584  31.59889   0.3046456  0.178 4.627 58313.4300757 17.155 17.036     0.3046456     0.3046393   61   69  0.178  0.212 4.627 4.633  0.986  0.978 0.669 0.443   -8.228   -9.319 RRc   0.000 0.000 
ZTFJ000642.90+372108.4   3351   1.67878  37.35234   0.3474338  0.159 4.935 58268.4511661 16.186 16.008     0.3474132     0.3474338   63   63  0.098  0.159 4.885 4.935  0.986  0.987 0.474 0.335   -9.284   -9.358 RRc   0.000 0.000 
ZTFJ000649.38-180718.8   3395   1.70578 -18.12190   0.3287418  0.121 5.210 58338.4054916 17.276 17.228     0.3287418     0.4902099   31   30  0.121  0.290 5.210 4.763  0.955  0.962 0.554 0.425   -2.560   -1.847 RRc   0.000 0.000 
ZTFJ000653.10+013353.1   3425   1.72129   1.56476   0.3141409  0.091 6.443 58370.4092032 18.071 18.106     0.3141544     0.3141409   95   89  0.186  0.091 6.625 6.443  0.786  0.815 0.280 0.316   -9.720  -10.026 RRc   0.000 0.000 
ZTFJ000656.70+294808.0   3468   1.73627  29.80223   0.3872210  0.211 4.716 58322.4162567 18.763 18.566     0.3872210     0.3872289  180  262  0.211  0.209 4.716 4.888  0.861  0.853 0.534 0.397  -12.688  -15.154 RRc   0.000 0.000 
ZTFJ000658.32+320207.0   3480   1.74302  32.03529   0.2725471  0.244 4.686 58334.4605257 16.731 16.688     0.2725471     0.2725414   60   69  0.244  0.227 4.686 4.652  0.988  0.985 0.580 0.401   -7.550   -8.791 RRc   0.000 0.000 
ZTFJ000723.51-054218.4   3650   1.84796  -5.70512   0.3112461  0.239 4.784 58301.4509719 17.429 17.358     0.3112461     0.3112572   41   41  0.145  0.239 4.339 4.784  0.978  0.979 0.535 0.388   -4.502   -4.523 RRc   0.000 0.000 
ZTFJ000754.78-101835.1   3909   1.97829 -10.30976   0.3162305  0.178 4.408 58378.3875675 17.259 17.195     0.3162442     0.3162305   29   34  0.223  0.178 4.660 4.408  0.986  0.985 0.617 0.441   -2.123   -3.321 RRc   0.000 0.000 
ZTFJ000853.76+612834.2   4322   2.22400  61.47617   0.3510376  0.141 6.193 58305.4247631 16.257 15.326     0.3510376     0.3510434  144  153  0.086  0.141 6.163 6.193  0.917  0.929 0.264 0.261  -24.678  -25.507 RRc   0.000 0.000 
ZTFJ000904.17+533702.4   4397   2.26739  53.61736   0.3114537  0.099 6.497 58472.1065970 16.502 16.266     0.3114449     0.3114537  203  215  0.091  0.099 5.400 6.497  0.912  0.940 0.210 0.210  -33.088  -34.604 RRc   0.000 0.000 
ZTFJ000912.43-145738.7   4441   2.30183 -14.96077   0.3463953  0.103 5.301 58372.3941246 17.792 17.680     0.3464290     0.3463953   31   31  0.045  0.103 6.929 5.301  0.916  0.924 0.501 0.335   -2.649   -2.356 RRc   0.000 0.000 
ZTFJ000924.96+730743.3   4525   2.35401  73.12870   0.3450219  0.051 4.291 58428.1796308 19.378  0.000     0.3450219     0.0000000   46    0  0.051  0.000 4.291 0.000  0.874  0.000 0.552 0.000   -4.568    0.000 RRc   0.000 0.000 
ZTFJ001006.87+285853.7   4801   2.52863  28.98159   0.3966011  0.091 4.858 58337.3393191 16.217 16.079     0.3966011     0.3966004   49   57  0.091  0.081 4.858 5.317  0.993  0.989 0.531 0.358   -6.406   -8.147 RRc   0.000 0.000 
ZTFJ001055.75-140257.5   5087   2.73230 -14.04932   0.3423842  0.109 4.656 58342.4473975 17.343 17.184     0.3423952     0.3423842   31   31  0.109  0.126 4.656 4.858  0.985  0.971 0.472 0.329   -2.600   -2.651 RRc   0.000 0.000 
ZTFJ001107.63+283129.9   5158   2.78183  28.52499   0.3740501  0.147 4.690 58434.1910451 17.686 17.522     0.3740502     0.3740501   59   65  0.147  0.190 4.690 4.660  0.985  0.963 0.565 0.400   -7.798   -8.715 RRc   0.000 0.000 
ZTFJ001153.64-203204.9   5410   2.97351 -20.53471   0.3414037  0.239 4.344 58348.4301203 16.349 16.280     0.3414037     0.3413789   31   28  0.230  0.239 4.561 4.344  0.887  0.952 0.580 0.518   -1.759   -1.811 RRc   0.000 0.000 
ZTFJ001225.07+633319.2   5565   3.10450  63.55535   0.3284797  0.196 4.748 58432.2647149 18.939 17.715     0.3284917     0.3284797  137  149  0.187  0.196 4.786 4.748  0.913  0.971 0.541 0.382  -21.478  -25.603 RRc   0.000 0.000 
ZTFJ001231.60-140209.5   5601   3.13168 -14.03599   0.3263145  0.057 4.547 58345.4120711 13.580 13.491     0.3263145     0.3263220   31   31  0.057  0.140 4.547 4.669  0.994  0.984 0.518 0.379   -2.868   -2.699 RRc   0.000 0.000 
ZTFJ001235.85+315437.1   5627   3.14940  31.91031   0.3274744  0.097 4.786 58349.3499173 16.282 16.179     0.3274744     0.3274743   60   68  0.097  0.094 4.786 4.834  0.992  0.989 0.541 0.364   -8.348   -9.211 RRc   0.000 0.000 
ZTFJ001241.74-002738.5   5650   3.17392  -0.46071   0.3114931  0.117 4.668 58443.1371118 16.932 16.854     0.3114968     0.3114931   41   41  0.238  0.117 4.832 4.668  0.983  0.987 0.452 0.281   -3.833   -4.895 RRc   0.000 0.000 
ZTFJ001319.46+614735.7   5888   3.33109  61.79326   0.3728311  0.055 4.723 58651.4325086 20.436 19.041     0.3728138     0.3728311  105  151  0.086  0.055 3.570 4.723  0.627  0.829 0.591 0.292  -10.175  -23.037 RRc   0.000 0.000 
ZTFJ001319.61+273219.1   5890   3.33173  27.53866   0.2083967  0.120 5.932 58382.2519588 18.729 18.708     0.2083967     0.2083985   59   65  0.120  0.134 5.932 8.178  0.731  0.628 0.211 0.195   -5.572   -4.503 RRc   0.000 0.000 
ZTFJ001403.39+615126.8   6138   3.51416  61.85746   0.2402218  0.176 3.919 58338.4691046 15.736 14.774     0.2402260     0.2402218  144  155  0.176  0.131 3.919 3.634  0.844  0.828 0.359 0.227  -21.153  -23.303 RRc   0.000 0.000 
ZTFJ001407.60+614314.2   6159   3.53170  61.72062   0.2138902  0.134 4.476 58333.3410003 16.897 16.070     0.2138902     0.2138889  144  155  0.134  0.142 4.476 4.597  0.980  0.980 0.432 0.303  -26.075  -27.562 RRc   0.000 0.000 
ZTFJ001420.87+031213.7   6215   3.58696   3.20382   0.3871198  0.218 4.878 58352.4007372 17.649 17.471     0.3871198     0.3870976   50   50  0.068  0.218 5.109 4.878  0.700  0.734 0.436 0.423   -4.051   -3.680 RRc   0.000 0.000 
ZTFJ001449.31+223926.4   6347   3.70546  22.65734   0.3433478  0.213 4.771 58379.3397387 17.670 17.570     0.3433047     0.3433478   97  102  0.171  0.213 4.745 4.771  0.897  0.967 0.596 0.431  -12.753  -11.265 RRc   0.000 0.000 
ZTFJ001459.31+433015.0   6406   3.74715  43.50418   0.3211224  0.191 6.318 58653.4461371 18.542 18.424     0.3211393     0.3211224   61   63  0.102  0.191 5.487 6.318  0.771  0.815 0.260 0.249   -5.112   -6.949 RRc   0.000 0.000 
ZTFJ001541.61+362259.8   6644   3.92340  36.38328   0.3041709  0.206 4.494 58292.4772543 17.829 17.672     0.3041719     0.3041709  110  124  0.206  0.197 4.494 4.505  0.971  0.960 0.578 0.437  -13.168  -15.847 RRc   0.000 0.000 
ZTFJ001606.22+625422.4   6789   4.02594  62.90623   0.2277390  0.220 9.180 58307.4076742 21.433 20.511     0.0424305     0.2277390   16  110  0.906  0.220 5.980 9.180  0.380  0.610 0.723 0.656    0.000   -9.965 RRc   0.000 0.000 
ZTFJ001625.97+162843.6   6897   4.10823  16.47879   0.3664869  0.196 4.315 58383.2884356 15.941 15.767     0.3664869     0.3664884   60   56  0.196  0.208 4.315 4.981  0.905  0.881 0.542 0.381   -7.398   -6.432 RRc   0.000 0.000 
ZTFJ001632.50+310629.6   6926   4.13544  31.10824   0.3475307  0.157 4.869 58373.3941376 18.018 17.849     0.3475440     0.3475307  117  123  0.157  0.198 4.869 4.764  0.980  0.962 0.587 0.409  -15.896  -15.664 RRc   0.000 0.000 
ZTFJ001659.55-153136.8   7097   4.24814 -15.52691   0.2841399  0.197 4.482 58482.1587049 17.189 17.151     0.2841274     0.2841399   31   31  0.197  0.218 4.482 4.838  0.980  0.979 0.604 0.413   -2.637   -2.502 RRc   0.000 0.000 
ZTFJ001700.98+340313.1   7106   4.25409  34.05366   0.2028594  0.037 4.548 58340.4758130 14.002 13.971     0.2028594     0.2028626  114  126  0.037  0.024 4.548 6.153  0.864  0.791 0.193 0.135  -14.406  -13.402 RRc   0.000 0.000 
