# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.63278 720965 1 1237665533334782009 242.896240 10066 144.9 2.2 0.17 0.09 0.78 0.01 14.17 0.01 Dprop Sloan 1.28 0.71 -21.80 0.05 1.09 0.06 10.63 0.04 10.73 0.01 "" "" -1.09 0.24 "" "" "" "" 9.46 0.08 -2.043846 0.29030 -63.3 -123.6 41.5 1
16.63278 720845 1 1237665549974831289 241.534590 12864 185.0 2.3 0.14 0.07 0.56 0.01 16.86 0.01 Dprop Sloan 0.68 0.38 -19.64 0.08 0.47 0.11 9.34 0.08 9.62 0.01 9.39 0.05 "" "" "" "" -0.23 0.06 10.04 0.05 -2.067611 0.29030 -84.5 -155.8 53.0 1
16.63278 310307 1 1237680247337320505 326.512510 7242 98.6 2.3 0.37 0.19 0.58 0.01 15.08 0.01 Dprop Sloan 0.88 0.46 -20.20 0.10 0.44 0.11 9.54 0.08 10.10 0.02 "" "" 0.62 0.02 0.60 0.03 "" "" 9.42 0.06 -0.584467 0.29030 78.8 -52.1 28.2 1
16.63278 720965 1 1237665533334782009 242.896240 10066 144.9 2.2 0.17 0.09 0.78 0.01 14.17 0.01 Dprop Sloan 1.28 0.71 -21.80 0.05 1.09 0.06 10.63 0.04 10.73 0.01 "" "" -1.09 0.24 "" "" "" "" 9.46 0.08 -2.043846 0.29030 -63.3 -123.6 41.5 1
16.63278 720845 1 1237665549974831289 241.534590 12864 185.0 2.3 0.14 0.07 0.56 0.01 16.86 0.01 Dprop Sloan 0.68 0.38 -19.64 0.08 0.47 0.11 9.34 0.08 9.62 0.01 9.39 0.05 "" "" "" "" -0.23 0.06 10.04 0.05 -2.067611 0.29030 -84.5 -155.8 53.0 1
16.63278 310307 1 1237680247337320505 326.512510 7242 98.6 2.3 0.37 0.19 0.58 0.01 15.08 0.01 Dprop Sloan 0.88 0.46 -20.20 0.10 0.44 0.11 9.54 0.08 10.10 0.02 "" "" 0.62 0.02 0.60 0.03 "" "" 9.42 0.06 -0.584467 0.29030 78.8 -52.1 28.2 1
16.63278 720965 1 1237665533334782009 242.896240 10066 144.9 2.2 0.17 0.09 0.78 0.01 14.17 0.01 Dprop Sloan 1.28 0.71 -21.80 0.05 1.09 0.06 10.63 0.04 10.73 0.01 "" "" -1.09 0.24 "" "" "" "" 9.46 0.08 -2.043846 0.29030 -63.3 -123.6 41.5 1
16.63278 720845 1 1237665549974831289 241.534590 12864 185.0 2.3 0.14 0.07 0.56 0.01 16.86 0.01 Dprop Sloan 0.68 0.38 -19.64 0.08 0.47 0.11 9.34 0.08 9.62 0.01 9.39 0.05 "" "" "" "" -0.23 0.06 10.04 0.05 -2.067611 0.29030 -84.5 -155.8 53.0 1
16.63528 189196 1 1237665097916547822 120.480820 12093 175.9 2.3 0.11 0.06 0.69 0.06 17.92 0.04 Dprop Sloan 0.29 0.20 -18.40 0.07 0.52 0.09 8.87 0.07 8.92 0.04 "" "" "" "" "" "" "" "" 9.78 0.06 2.102787 0.29034 -85.5 145.2 50.4 1
16.63528 222989 1 1237668623013052738 186.442920 7692 114.4 2.3 0.07 0.04 0.82 0.03 16.42 0.02 Dprop Sloan 0.42 0.29 -18.93 0.05 0.65 0.05 9.18 0.04 "" "" 9.25 0.05 "" "" "" "" -0.85 0.07 9.53 0.06 -3.029142 0.29034 -108.9 -12.3 32.8 1
16.63528 189196 1 1237665097916547822 120.480820 12093 175.9 2.3 0.11 0.06 0.69 0.06 17.92 0.04 Dprop Sloan 0.29 0.20 -18.40 0.07 0.52 0.09 8.87 0.07 8.92 0.04 "" "" "" "" "" "" "" "" 9.78 0.06 2.102787 0.29034 -85.5 145.2 50.4 1
16.63528 222989 1 1237668623013052738 186.442920 7692 114.4 2.3 0.07 0.04 0.82 0.03 16.42 0.02 Dprop Sloan 0.42 0.29 -18.93 0.05 0.65 0.05 9.18 0.04 "" "" 9.25 0.05 "" "" "" "" -0.85 0.07 9.53 0.06 -3.029142 0.29034 -108.9 -12.3 32.8 1
16.63556 219547 1 1237668494709293246 178.752930 3715 55.5 2.3 0.16 0.08 0.29 0.02 17.38 0.04 Dprop Sloan 0.00 0.00 -16.43 0.19 0.40 0.24 8.00 0.18 8.35 0.04 "" "" "" "" "" "" "" "" 9.22 0.06 3.119827 0.29035 -53.2 1.2 15.9 1
16.63722 231391 1 1237668624093806659 203.236250 6598 98.2 2.3 0.08 0.04 0.87 0.01 12.69 0.01 Dprop Sloan 1.47 0.80 -22.36 0.06 1.13 0.04 10.89 0.04 10.93 0.02 "" "" -0.33 0.04 "" "" "" "" 9.90 0.05 -2.736044 0.29037 -86.5 -37.1 28.1 1
16.63889 336360 1 1237672763370307697 349.472930 11567 160.0 2.3 0.15 0.08 0.27 0.01 15.40 0.01 Dprop Sloan 1.01 0.56 -21.02 0.18 0.60 0.25 9.97 0.19 10.40 0.01 "" "" 0.30 0.02 0.33 0.03 "" "" 9.93 0.05 -0.183732 0.29040 150.7 -28.0 45.8 1
