# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
26.37167 6294 1 1237667322713931949 169.180420 8152 120.8 2.2 0.06 0.03 0.17 0.01 14.02 0.01 Dprop Sloan 1.08 0.66 -21.93 0.23 1.05 0.33 10.66 0.25 10.80 0.02 10.74 0.02 0.02 0.03 -0.04 0.03 -0.03 0.15 9.67 0.06 2.952755 0.46027 -106.3 20.3 53.7 1
26.37250 182947 1 1237660635444150441 122.115410 8188 119.9 2.3 0.11 0.06 0.21 0.01 15.77 0.01 Dprop Sloan 0.56 0.40 -19.95 0.21 1.01 0.29 9.84 0.22 10.00 0.02 9.93 0.04 -0.57 0.07 -0.59 0.03 -0.42 0.13 9.59 0.06 2.131316 0.46029 -57.1 91.0 53.3 1
26.37278 320013 1 1237680444908700224 331.050420 6095 88.9 2.3 0.21 0.11 0.82 0.01 13.98 0.01 Dprop Sloan 1.06 0.58 -20.92 0.07 0.91 0.05 10.16 0.04 10.28 0.02 "" "" -0.32 0.03 "" "" "" "" 9.18 0.06 -0.505265 0.46029 69.7 -38.6 39.5 1
26.37389 174653 2 1237657608028553255 113.335010 2320 34.1 2.2 0.19 0.10 0.57 0.16 20.54 0.12 Dprop Sloan "" "" "" "" "" "" "" "" 7.18 0.08 "" "" -2.03 0.18 "" "" "" "" 9.05 0.07 1.978069 0.46031 -12.1 28.1 15.1 1
26.37417 182910 1 1237660343926129022 121.726670 6584 97.0 2.3 0.12 0.06 0.51 0.01 15.61 0.01 Dprop Sloan 0.60 0.36 -19.49 0.10 0.58 0.13 9.35 0.10 9.67 0.02 9.36 0.05 "" "" "" "" -0.58 0.07 9.33 0.06 2.124531 0.46032 -45.7 73.9 43.1 1
26.37500 723020 1 1237667430104957103 167.697920 12717 186.1 2.3 0.07 0.03 0.51 0.01 15.27 0.01 Dprop Sloan 1.14 0.62 -21.30 0.09 0.75 0.13 10.20 0.10 10.37 0.01 10.37 0.04 -1.00 0.37 -0.28 0.04 0.00 0.12 9.85 0.06 2.926881 0.46033 -162.9 35.5 82.7 1
26.37556 749203 2 1237667429569658965 171.686250 6306 94.5 2.5 0.06 0.03 0.48 0.55 21.95 1.18 Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" -1.40 0.25 "" "" "" "" 9.06 0.06 2.996490 0.46034 -83.8 12.2 42.0 1
26.37750 732418 2 1237667322187087999 194.784160 999 15.0 2.2 0.03 0.01 0.48 0.01 16.70 0.05 Dprop Sloan "" "" "" "" "" "" "" "" 7.43 0.13 "" "" -3.01 0.30 -2.45 0.13 "" "" 7.15 0.15 -2.883560 0.46037 -13.0 -3.4 6.7 1
26.37833 194688 1 1237665128526643352 139.696670 8080 119.3 2.2 0.11 0.06 0.78 0.01 15.18 0.01 Dprop Sloan 0.86 0.49 -20.31 0.05 0.92 0.06 9.92 0.04 10.06 0.02 10.15 0.02 -0.46 0.06 -0.32 0.03 -0.37 0.09 9.79 0.05 2.438167 0.46039 -81.5 69.1 53.0 1
26.37917 12626 1 1237680305867325658 352.313350 8022 109.6 2.4 0.23 0.12 0.37 0.01 13.73 0.01 Dprop Sloan 1.20 0.69 -21.89 0.14 1.18 0.19 10.73 0.14 11.00 0.02 "" "" 0.63 0.02 "" "" "" "" 10.35 0.05 -0.134157 0.46040 97.3 -13.1 48.7 1
26.38000 332961 1 1237680305867456739 352.682500 7865 107.4 2.2 0.19 0.10 0.26 0.01 17.22 0.02 Dprop Sloan 0.15 0.15 -18.12 0.18 0.66 0.25 8.86 0.19 9.06 0.02 "" "" -2.03 0.64 "" "" "" "" 9.43 0.06 -0.127714 0.46042 95.4 -12.3 47.7 1
26.38111 727090 1 1237665102754545688 230.776250 15672 225.7 2.5 0.13 0.07 0.91 0.01 15.94 0.01 Dprop Sloan 1.00 0.58 -20.92 0.03 0.97 0.04 10.20 0.03 10.34 0.01 10.33 0.02 -0.21 0.07 -0.01 0.03 -0.19 0.08 9.94 0.06 -2.255380 0.46044 -127.9 -156.6 100.3 1
26.38333 731791 1 1237667322179420406 175.194990 6917 103.2 2.2 0.07 0.04 0.33 0.01 17.46 0.01 Dprop Sloan 0.12 0.10 -17.69 0.15 0.65 0.21 8.68 0.16 8.88 0.02 8.77 0.06 -1.09 0.15 -0.95 0.06 -1.04 0.07 9.27 0.06 3.057729 0.46048 -92.1 7.7 45.9 1
26.38445 252052 1 1237665102754414728 230.559590 13591 196.0 2.3 0.13 0.07 0.99 0.01 13.98 0.01 Dprop Sloan 1.54 0.83 -22.56 0.03 1.24 0.03 11.04 0.03 11.09 0.01 11.18 0.02 -0.14 0.05 -0.09 0.04 -0.17 0.11 10.31 0.05 -2.259161 0.46050 -111.5 -135.6 87.1 1
26.38500 101816 1 1237680275261948239 5.312920 9178 126.4 2.3 0.11 0.06 0.80 0.03 16.83 0.02 Dprop Sloan 0.43 0.26 -18.76 0.05 0.59 0.06 9.07 0.04 9.40 0.02 "" "" -1.35 0.39 -0.86 0.06 "" "" 9.69 0.05 0.092728 0.46051 112.7 10.5 56.2 1
26.38528 320806 1 1237672815973892437 344.742950 7627 102.2 4.4 0.36 0.19 0.68 0.01 15.41 0.01 Dprop Sloan 0.88 0.42 -19.90 0.11 0.48 0.08 9.45 0.07 9.91 0.04 "" "" -0.46 0.06 -0.34 0.05 "" "" 9.63 0.06 -0.266286 0.46051 88.3 -24.1 45.4 1
26.38556 9157 1 1237665441523499143 214.599580 10868 158.2 2.3 0.07 0.03 0.52 0.01 13.89 0.01 Dprop Sloan 1.50 0.77 -22.36 0.09 0.92 0.13 10.74 0.10 10.90 0.01 10.99 0.01 -0.33 0.08 0.03 0.05 -0.03 0.06 10.31 0.05 -2.537716 0.46051 -116.7 -80.5 70.3 1
26.38583 731615 1 1237667322714063034 169.547090 2817 42.8 2.2 0.05 0.03 0.45 0.01 16.15 0.01 Dprop Sloan 0.00 0.01 -17.04 0.15 0.40 0.15 8.24 0.12 8.54 0.05 "" "" -2.24 0.29 -1.71 0.09 "" "" 8.52 0.07 2.959155 0.46052 -37.7 7.0 19.0 1
26.38583 725036 1 1237667441899471017 190.358750 7095 105.4 2.3 0.05 0.02 0.74 0.02 16.64 0.01 Dprop Sloan 0.30 0.22 -18.53 0.06 0.62 0.06 9.00 0.05 9.15 0.02 9.10 0.05 -1.42 0.30 -0.94 0.03 -0.93 0.08 8.85 0.07 -2.960798 0.46052 -92.9 -17.0 46.8 1
26.38583 731615 1 1237667322714063034 169.547090 2817 42.8 2.2 0.05 0.03 0.45 0.01 16.15 0.01 Dprop Sloan 0.00 0.01 -17.04 0.15 0.40 0.15 8.24 0.12 8.54 0.05 "" "" -2.24 0.29 -1.71 0.09 "" "" 8.52 0.07 2.959155 0.46052 -37.7 7.0 19.0 1
26.38583 725036 1 1237667441899471017 190.358750 7095 105.4 2.3 0.05 0.02 0.74 0.02 16.64 0.01 Dprop Sloan 0.30 0.22 -18.53 0.06 0.62 0.06 9.00 0.05 9.15 0.02 9.10 0.05 -1.42 0.30 -0.94 0.03 -0.93 0.08 8.85 0.07 -2.960798 0.46052 -92.9 -17.0 46.8 1
26.38611 727101 1 1237665129098510627 231.334590 10240 148.1 2.2 0.12 0.06 0.93 0.02 16.32 0.01 Dprop Sloan 0.72 0.39 -19.60 0.04 0.56 0.04 9.38 0.03 9.63 0.01 9.55 0.05 -0.67 0.09 "" "" -0.34 0.05 9.99 0.05 -2.245635 0.46052 -82.9 -103.6 65.8 1
26.38639 122190 1 1237680284390588481 33.783750 4988 68.6 2.3 0.21 0.11 0.15 0.01 17.22 0.02 Dprop Sloan 0.11 0.01 -17.08 0.26 -0.13 0.35 7.89 0.27 8.99 0.03 "" "" "" "" "" "" "" "" 9.17 0.06 0.589638 0.46053 51.1 34.2 30.5 1
26.38639 183244 1 1237660957571612688 124.994160 6000 88.8 2.1 0.09 0.04 0.69 0.01 14.23 0.01 Dprop Sloan 0.94 0.53 -20.64 0.07 0.96 0.07 10.08 0.06 10.19 0.02 "" "" -0.73 0.08 "" "" "" "" 9.56 0.06 2.181560 0.46053 -45.6 65.2 39.5 1
26.38639 122190 1 1237680284390588481 33.783750 4988 68.6 2.3 0.21 0.11 0.15 0.01 17.22 0.02 Dprop Sloan 0.11 0.01 -17.08 0.26 -0.13 0.35 7.89 0.27 8.99 0.03 "" "" "" "" "" "" "" "" 9.17 0.06 0.589638 0.46053 51.1 34.2 30.5 1
26.38639 183244 1 1237660957571612688 124.994160 6000 88.8 2.1 0.09 0.04 0.69 0.01 14.23 0.01 Dprop Sloan 0.94 0.53 -20.64 0.07 0.96 0.07 10.08 0.06 10.19 0.02 "" "" -0.73 0.08 "" "" "" "" 9.56 0.06 2.181560 0.46053 -45.6 65.2 39.5 1
26.38722 194667 1 1237665128526577974 139.612090 10456 153.2 2.3 0.11 0.06 0.31 0.01 17.40 0.05 Dprop Sloan 0.52 0.24 -18.70 0.16 0.06 0.23 8.67 0.17 9.58 0.02 9.14 0.06 "" "" "" "" -0.56 0.05 9.75 0.06 2.436691 0.46054 -104.5 88.9 68.1 1
26.38917 122220 0 "" 40.352090 10619 148.5 2.1 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.73 0.06 0.704277 0.46058 101.4 86.1 66.0 1
26.38972 749277 1 1237661086957961651 127.729170 7223 106.5 2.3 0.16 0.08 0.50 0.04 18.48 0.03 Dprop Sloan 0.00 0.00 -16.74 0.11 0.35 0.14 8.09 0.10 8.24 0.05 "" "" -1.32 0.25 "" "" "" "" 9.26 0.06 2.229295 0.46059 -58.4 75.5 47.3 1
26.39000 725395 1 1237667442439290888 197.921660 11427 167.0 2.2 0.05 0.03 0.44 0.01 15.60 0.01 Dprop Sloan 1.06 0.53 -20.73 0.11 0.34 0.15 9.68 0.12 10.50 0.01 9.83 0.09 0.77 0.01 0.75 0.02 0.71 0.06 9.91 0.06 -2.828801 0.46059 -142.3 -46.0 74.2 1
26.39250 332914 1 1237680305867194523 351.975010 7980 109.0 2.2 0.22 0.11 0.38 0.01 16.61 0.02 Dprop Sloan 0.48 0.25 -18.79 0.14 0.22 0.18 8.82 0.14 8.48 0.05 "" "" -1.58 0.57 "" "" "" "" 9.67 0.05 -0.140062 0.46064 96.7 -13.6 48.5 1
26.39305 110 1 1237680275261030623 3.005420 4507 55.0 10.9 0.14 0.07 0.61 0.01 14.63 0.01 Dprop Sloan 0.55 0.32 -19.21 0.44 0.56 0.10 9.23 0.19 9.53 0.17 "" "" -1.10 0.19 -0.62 0.17 "" "" 9.37 0.18 0.052454 0.46065 49.2 2.6 24.4 1
26.39417 235171 1 1237665549959954716 206.500820 15212 220.7 2.3 0.04 0.02 0.87 0.03 16.94 0.01 Dprop Sloan 0.79 0.42 -19.82 0.03 0.63 0.04 9.52 0.03 9.71 0.01 9.63 0.04 -0.87 0.26 -0.32 0.03 -0.32 0.04 9.74 0.06 -2.679066 0.46067 -176.9 -88.2 98.1 1
26.39667 235180 1 1237665549959954521 206.549160 10836 158.2 2.4 0.04 0.02 0.19 0.01 16.02 0.01 Dprop Sloan 0.75 0.45 -20.32 0.22 0.66 0.31 9.74 0.23 10.03 0.01 9.88 0.04 -0.54 0.09 "" "" -0.34 0.08 9.71 0.06 -2.678222 0.46071 -126.8 -63.3 70.3 1
26.39694 183507 1 1237661125612863685 127.323330 7673 112.9 2.3 0.19 0.10 0.83 0.02 17.07 0.01 Dprop Sloan 0.22 0.19 -18.31 0.06 0.52 0.05 8.84 0.04 9.23 0.02 "" "" -0.61 0.06 "" "" "" "" 9.13 0.07 2.222211 0.46071 -61.3 80.4 50.2 1
26.39778 724652 1 1237667321646153927 184.387920 7478 111.0 2.3 0.08 0.04 0.26 0.01 16.34 0.01 Dprop Sloan 0.36 0.29 -19.10 0.18 0.83 0.25 9.37 0.19 9.51 0.02 9.41 0.02 "" "" "" "" -1.28 0.07 9.28 0.06 -3.065009 0.46073 -99.1 -7.6 49.4 1
26.39889 321208 1 1237680529736859764 334.960850 12422 172.6 2.2 0.37 0.19 0.99 0.01 15.53 0.01 Dprop Sloan 0.97 0.58 -20.85 0.05 1.15 0.03 10.29 0.03 10.35 0.01 "" "" -0.58 0.14 "" "" "" "" 9.58 0.06 -0.437016 0.46075 140.1 -65.4 76.7 1
26.40139 170752 1 1237654652018884686 112.287500 4952 71.4 2.5 0.21 0.11 0.42 0.01 14.09 0.01 Dprop Sloan 0.92 0.49 -20.47 0.14 0.36 0.16 9.60 0.13 10.03 0.03 "" "" -0.28 0.03 0.02 0.04 "" "" 9.20 0.06 1.959787 0.46079 -24.3 59.2 31.7 1
26.40444 722590 1 1237667431176732861 162.634160 16221 236.1 2.2 0.12 0.06 0.73 0.02 16.29 0.01 Dprop Sloan 1.01 0.55 -20.72 0.05 0.81 0.07 10.00 0.05 10.15 0.01 10.04 0.05 -0.21 0.13 -0.06 0.04 -0.05 0.08 10.05 0.06 2.838502 0.46084 -201.8 63.1 105.0 1
26.40472 726341 1 1237665441523368144 214.197490 10882 158.4 2.2 0.06 0.03 0.54 0.01 14.76 0.01 Dprop Sloan 1.20 0.64 -21.44 0.09 0.90 0.12 10.36 0.09 10.53 0.01 10.60 0.01 -0.64 0.10 -0.33 0.06 -0.29 0.06 10.01 0.05 -2.544734 0.46085 -117.3 -79.7 70.4 1
26.40500 112530 1 1237680249487097969 29.965830 5239 72.4 2.3 0.24 0.12 0.22 0.01 15.27 0.01 Dprop Sloan 0.50 0.32 -19.36 0.21 0.53 0.28 9.26 0.21 9.76 0.03 "" "" -0.57 0.04 "" "" "" "" 9.42 0.05 0.523002 0.46085 56.2 32.4 32.2 1
26.40528 733058 1 1237665350782288151 221.034590 9116 132.7 2.2 0.09 0.04 0.24 0.01 17.03 0.01 Dprop Sloan 0.29 0.24 -18.78 0.19 0.74 0.26 9.18 0.20 9.37 0.02 9.30 0.03 "" "" "" "" -1.12 0.07 9.20 0.07 -2.425404 0.46086 -89.7 -78.0 59.0 1
26.40750 724197 1 1237667429035540549 178.679990 10124 148.9 2.2 0.08 0.04 0.70 0.01 15.69 0.01 Dprop Sloan 0.86 0.48 -20.29 0.06 0.79 0.07 9.82 0.06 10.05 0.01 9.96 0.03 -1.24 0.36 -0.49 0.03 -0.29 0.11 9.88 0.05 3.118554 0.46090 -133.3 3.1 66.2 1
26.40833 732639 1 1237667442977800302 202.140410 11523 168.2 2.3 0.04 0.02 0.41 0.01 16.54 0.01 Dprop Sloan 0.66 0.39 -19.76 0.12 0.64 0.17 9.50 0.13 9.75 0.01 9.57 0.04 -0.72 0.15 -0.41 0.04 -0.43 0.06 9.26 0.08 -2.755170 0.46091 -139.5 -56.8 74.8 1
26.40944 194936 1 1237665097389310078 141.562910 14629 212.9 2.3 0.09 0.05 0.84 0.01 15.83 0.01 Dprop Sloan 1.11 0.58 -20.90 0.04 0.63 0.05 9.95 0.03 10.22 0.01 9.99 0.04 -0.60 0.24 0.02 0.05 0.03 0.09 9.85 0.06 2.470739 0.46093 -149.4 118.5 94.7 1
26.40944 8482 1 1237667442977865845 202.396670 7379 109.0 2.2 0.05 0.03 0.26 0.01 14.40 0.01 Dprop Sloan 0.94 0.57 -21.14 0.18 1.00 0.25 10.31 0.19 10.49 0.02 10.42 0.04 0.17 0.02 0.08 0.05 0.09 0.14 10.03 0.05 -2.750697 0.46093 -90.3 -37.2 48.5 1
26.40944 194936 1 1237665097389310078 141.562910 14629 212.9 2.3 0.09 0.05 0.84 0.01 15.83 0.01 Dprop Sloan 1.11 0.58 -20.90 0.04 0.63 0.05 9.95 0.03 10.22 0.01 9.99 0.04 -0.60 0.24 0.02 0.05 0.03 0.09 9.85 0.06 2.470739 0.46093 -149.4 118.5 94.7 1
26.40944 8482 1 1237667442977865845 202.396670 7379 109.0 2.2 0.05 0.03 0.26 0.01 14.40 0.01 Dprop Sloan 0.94 0.57 -21.14 0.18 1.00 0.25 10.31 0.19 10.49 0.02 10.42 0.04 0.17 0.02 0.08 0.05 0.09 0.14 10.03 0.05 -2.750697 0.46093 -90.3 -37.2 48.5 1
26.41222 238842 1 1237665532245049600 204.829160 5156 76.3 2.3 0.03 0.02 0.32 0.02 17.87 0.03 Dprop Sloan 0.00 0.00 -16.56 0.17 0.43 0.22 8.07 0.17 8.24 0.04 "" "" "" "" "" "" "" "" 9.03 0.06 -2.708242 0.46098 -62.0 -28.7 33.9 1
26.41278 722554 1 1237667431176536204 162.098340 6294 94.3 2.2 0.11 0.06 0.27 0.01 15.46 0.01 Dprop Sloan 0.68 0.37 -19.68 0.18 0.37 0.24 9.28 0.18 9.67 0.02 9.34 0.04 -1.25 0.21 -0.51 0.03 -0.54 0.06 9.37 0.05 2.829150 0.46099 -80.4 26.0 41.9 1
26.41333 9150 1 1237665441523499019 214.494170 4415 66.2 2.2 0.07 0.03 0.82 0.01 12.73 0.01 Dprop Sloan 1.26 0.66 -21.46 0.08 0.74 0.05 10.25 0.05 10.60 0.03 10.42 0.05 0.47 0.03 0.56 0.03 0.45 0.09 9.87 0.05 -2.539556 0.46100 -48.9 -33.6 29.4 1
26.41417 727225 1 1237662697572466956 234.845830 12422 179.0 2.2 0.13 0.07 0.62 0.01 16.00 0.01 Dprop Sloan 0.89 0.50 -20.43 0.07 0.82 0.09 9.90 0.07 10.25 0.01 "" "" 0.01 0.03 "" "" "" "" 9.59 0.07 -2.184352 0.46101 -92.3 -131.1 79.6 1
26.41556 725180 1 1237667322186760239 193.858340 13577 197.9 2.2 0.03 0.02 0.35 0.01 17.49 0.01 Dprop Sloan 0.60 0.30 -19.14 0.14 0.06 0.20 8.85 0.15 9.36 0.02 8.97 0.09 -0.75 0.22 -0.19 0.02 -0.15 0.05 9.87 0.06 -2.899719 0.46104 -172.1 -42.5 88.0 1
26.41722 221033 1 1237667441900126320 192.175430 6889 102.4 2.2 0.04 0.02 0.27 0.01 14.02 0.01 Dprop Sloan 1.04 0.61 -21.39 0.18 0.86 0.24 10.31 0.18 10.69 0.02 10.44 0.02 0.51 0.02 0.43 0.03 0.51 0.17 9.62 0.05 -2.929091 0.46107 -89.6 -19.3 45.6 1
26.41778 725587 1 1237667442977407131 201.240400 11213 163.8 2.2 0.05 0.03 0.71 0.01 15.58 0.01 Dprop Sloan 0.96 0.53 -20.60 0.06 0.69 0.07 9.87 0.06 10.15 0.01 9.98 0.04 -0.71 0.17 -0.34 0.05 -0.30 0.05 9.66 0.06 -2.770878 0.46108 -136.7 -53.1 72.9 1
26.41861 723795 1 1237667322179092512 174.320400 9371 138.2 2.1 0.08 0.04 0.84 0.03 17.44 0.01 Dprop Sloan 0.33 0.20 -18.32 0.04 0.35 0.05 8.72 0.04 9.09 0.02 8.92 0.08 "" "" "" "" -0.49 0.07 9.65 0.05 3.042465 0.46109 -123.2 12.2 61.5 1
26.41944 732392 1 1237667322186891368 194.191250 13488 196.6 2.3 0.03 0.02 0.92 0.02 16.33 0.01 Dprop Sloan 0.94 0.47 -20.17 0.03 0.47 0.04 9.54 0.03 9.87 0.01 9.65 0.05 -1.07 0.43 -0.04 0.02 -0.12 0.06 9.39 0.08 -2.893909 0.46111 -170.7 -43.2 87.5 1
26.41972 220983 1 1237667441899733092 191.172070 4545 67.4 2.3 0.05 0.03 0.51 0.01 13.47 0.01 Dprop Sloan 0.90 0.55 -20.86 0.12 1.14 0.13 10.29 0.10 10.50 0.03 10.28 0.03 0.54 0.03 0.42 0.06 -0.11 0.14 8.99 0.06 -2.946603 0.46111 -59.2 -11.7 30.0 1
26.41972 330263 1 1237680276329791768 350.265840 5826 83.5 2.3 0.34 0.17 0.24 0.01 14.62 0.01 Dprop Sloan 0.83 0.47 -20.46 0.20 0.56 0.26 9.73 0.20 10.18 0.02 "" "" 0.19 0.02 0.14 0.04 "" "" 9.53 0.05 -0.169893 0.46111 73.7 -12.6 37.2 1
26.41972 238843 1 1237665532245115225 204.978330 8394 123.4 2.4 0.04 0.02 0.33 0.02 18.30 0.03 Dprop Sloan 0.02 0.03 -17.19 0.15 0.16 0.21 8.14 0.16 8.33 0.06 "" "" "" "" "" "" "" "" 9.45 0.06 -2.705639 0.46111 -100.2 -46.7 54.9 1
26.41972 220983 1 1237667441899733092 191.172070 4545 67.4 2.3 0.05 0.03 0.51 0.01 13.47 0.01 Dprop Sloan 0.90 0.55 -20.86 0.12 1.14 0.13 10.29 0.10 10.50 0.03 10.28 0.03 0.54 0.03 0.42 0.06 -0.11 0.14 8.99 0.06 -2.946603 0.46111 -59.2 -11.7 30.0 1
26.41972 330263 1 1237680276329791768 350.265840 5826 83.5 2.3 0.34 0.17 0.24 0.01 14.62 0.01 Dprop Sloan 0.83 0.47 -20.46 0.20 0.56 0.26 9.73 0.20 10.18 0.02 "" "" 0.19 0.02 0.14 0.04 "" "" 9.53 0.05 -0.169893 0.46111 73.7 -12.6 37.2 1
26.41972 238843 1 1237665532245115225 204.978330 8394 123.4 2.4 0.04 0.02 0.33 0.02 18.30 0.03 Dprop Sloan 0.02 0.03 -17.19 0.15 0.16 0.21 8.14 0.16 8.33 0.06 "" "" "" "" "" "" "" "" 9.45 0.06 -2.705639 0.46111 -100.2 -46.7 54.9 1
26.41972 220983 1 1237667441899733092 191.172070 4545 67.4 2.3 0.05 0.03 0.51 0.01 13.47 0.01 Dprop Sloan 0.90 0.55 -20.86 0.12 1.14 0.13 10.29 0.10 10.50 0.03 10.28 0.03 0.54 0.03 0.42 0.06 -0.11 0.14 8.99 0.06 -2.946603 0.46111 -59.2 -11.7 30.0 1
26.41972 330263 1 1237680276329791768 350.265840 5826 83.5 2.3 0.34 0.17 0.24 0.01 14.62 0.01 Dprop Sloan 0.83 0.47 -20.46 0.20 0.56 0.26 9.73 0.20 10.18 0.02 "" "" 0.19 0.02 0.14 0.04 "" "" 9.53 0.05 -0.169893 0.46111 73.7 -12.6 37.2 1
26.41972 238843 1 1237665532245115225 204.978330 8394 123.4 2.4 0.04 0.02 0.33 0.02 18.30 0.03 Dprop Sloan 0.02 0.03 -17.19 0.15 0.16 0.21 8.14 0.16 8.33 0.06 "" "" "" "" "" "" "" "" 9.45 0.06 -2.705639 0.46111 -100.2 -46.7 54.9 1
26.42028 112519 1 1237680075006542045 23.413750 11093 154.4 2.3 0.49 0.25 0.35 0.01 16.30 0.01 Dprop Sloan 0.82 0.43 -20.10 0.15 0.44 0.20 9.50 0.15 9.89 0.01 "" "" -0.52 0.08 "" "" "" "" 9.81 0.06 0.408647 0.46112 126.9 54.9 68.7 1
26.42278 231921 1 1237667323263778879 202.406270 7281 107.6 2.3 0.05 0.03 0.43 0.01 16.07 0.01 Dprop Sloan 0.60 0.32 -19.23 0.12 0.20 0.16 8.98 0.12 9.40 0.02 8.92 0.05 -0.45 0.05 -0.12 0.03 -0.27 0.04 9.92 0.05 -2.750529 0.46116 -89.1 -36.7 47.9 1
26.42361 733506 2 1237665126949322788 226.613340 13228 191.1 2.3 0.17 0.09 0.32 0.01 24.36 1.05 Dprop Sloan "" "" "" "" "" "" "" "" 10.05 0.01 9.75 0.03 -0.66 0.11 "" "" -0.40 0.05 9.89 0.06 -2.328036 0.46118 -117.6 -124.4 85.0 1
26.42444 8570 1 1237667323264368802 203.829990 7610 112.2 2.1 0.04 0.02 0.72 0.01 13.85 0.01 Dprop Sloan 1.22 0.66 -21.51 0.06 0.98 0.07 10.44 0.05 10.60 0.02 10.68 0.02 0.16 0.02 0.18 0.03 -0.07 0.06 10.15 0.05 -2.725681 0.46119 -91.9 -40.6 49.9 1
