# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
26.36361 222713 1 1237667321646547076 185.463750 7159 106.4 2.1 0.09 0.05 0.59 0.01 15.01 0.01 Dprop Sloan 0.90 0.48 -20.28 0.08 0.53 0.10 9.63 0.08 9.95 0.02 9.74 0.05 -0.46 0.05 -0.14 0.03 -0.23 0.06 9.71 0.05 -3.046232 0.46013 -94.9 -9.1 47.2 1
26.36389 723745 1 1237667322178764913 173.478350 9633 142.0 2.2 0.07 0.04 0.36 0.01 16.06 0.01 Dprop Sloan 0.78 0.41 -19.92 0.14 0.39 0.19 9.39 0.14 9.78 0.01 9.52 0.05 -1.87 0.75 -0.35 0.03 -0.23 0.06 9.69 0.06 3.027768 0.46014 -126.4 14.5 63.1 1
26.36722 110482 1 1237678790817218792 25.571670 357 7.8 0.8 0.30 0.16 0.52 0.01 15.79 0.01 Dprop Sloan 0.00 0.00 -13.82 0.24 0.48 0.12 7.02 0.13 7.31 0.09 "" "" -3.87 0.42 -2.87 0.09 "" "" 7.28 0.10 0.446310 0.46019 6.3 3.0 3.5 1
26.36722 724540 1 1237667321645433008 182.610430 7906 117.2 2.3 0.07 0.04 0.63 0.01 15.46 0.01 Dprop Sloan 0.81 0.44 -20.01 0.08 0.51 0.09 9.51 0.07 9.89 0.02 9.60 0.07 -0.22 0.03 -0.02 0.03 -0.17 0.09 9.19 0.07 -3.096032 0.46019 -104.9 -4.8 52.1 1
26.36722 110482 1 1237678790817218792 25.571670 357 7.8 0.8 0.30 0.16 0.52 0.01 15.79 0.01 Dprop Sloan 0.00 0.00 -13.82 0.24 0.48 0.12 7.02 0.13 7.31 0.09 "" "" -3.87 0.42 -2.87 0.09 "" "" 7.28 0.10 0.446310 0.46019 6.3 3.0 3.5 1
26.36722 724540 1 1237667321645433008 182.610430 7906 117.2 2.3 0.07 0.04 0.63 0.01 15.46 0.01 Dprop Sloan 0.81 0.44 -20.01 0.08 0.51 0.09 9.51 0.07 9.89 0.02 9.60 0.07 -0.22 0.03 -0.02 0.03 -0.17 0.09 9.19 0.07 -3.096032 0.46019 -104.9 -4.8 52.1 1
26.36861 122196 1 1237680251100004787 35.948330 9563 135.2 4.3 0.29 0.15 0.35 0.01 15.80 0.01 Dprop Sloan 0.80 0.45 -20.20 0.16 0.60 0.19 9.65 0.15 10.05 0.03 "" "" -0.20 0.04 -0.14 0.05 "" "" 9.66 0.06 0.627417 0.46022 98.1 71.1 60.0 1
26.36889 263191 1 1237662306200650055 241.759580 10766 154.8 2.3 0.25 0.13 0.86 0.01 16.00 0.01 Dprop Sloan 0.83 0.46 -20.10 0.05 0.70 0.04 9.68 0.03 9.92 0.01 9.73 0.05 -0.42 0.08 -0.17 0.03 -0.24 0.07 9.69 0.05 -2.063685 0.46022 -65.6 -122.2 68.8 1
26.36972 331230 1 1237680275794428251 354.100010 8037 127.1 4.3 0.16 0.08 0.48 0.01 15.40 0.01 Dprop Sloan 0.89 0.48 -20.36 0.12 0.61 0.14 9.72 0.11 10.00 0.03 "" "" -1.26 0.34 -0.53 0.04 "" "" 9.52 0.07 -0.102974 0.46024 113.3 -11.7 56.5 1
26.37083 263164 1 1237662306200649931 241.645830 9980 143.6 2.1 0.23 0.12 0.88 0.01 15.27 0.01 Dprop Sloan 1.05 0.54 -20.66 0.04 0.60 0.04 9.83 0.03 10.15 0.01 9.91 0.04 -0.10 0.04 0.17 0.02 0.02 0.07 9.61 0.06 -2.065670 0.46026 -61.1 -113.2 63.8 1
