# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
8.62639 714055 1 1237662237479469397 215.185420 1300 22.7 2.3 0.09 0.05 0.45 0.02 15.91 0.02 Dprop Sloan 0.00 0.00 -15.91 0.24 0.44 0.15 7.82 0.14 8.13 0.09 "" "" -2.45 0.18 "" "" "" "" 8.57 0.10 -2.527491 0.15056 -18.3 -12.9 3.4 1
8.62750 181684 1 1237664285634658638 132.136260 12715 185.7 2.2 0.22 0.11 0.38 0.01 16.64 0.01 Dprop Sloan 0.85 0.42 -20.00 0.13 0.25 0.18 9.33 0.14 9.79 0.01 9.51 0.07 -0.60 0.15 -0.15 0.02 -0.12 0.03 10.02 0.06 2.306213 0.15058 -123.2 136.1 27.9 1
8.62806 52 1 1237669682262376559 1.706250 5257 71.5 14.1 0.35 0.18 0.84 0.01 12.71 0.01 Dprop Sloan 1.30 0.71 -21.80 0.43 1.07 0.05 10.62 0.18 10.71 0.17 "" "" 0.16 0.17 0.20 0.17 "" "" 10.03 0.18 0.029780 0.15059 70.7 2.1 10.7 1
8.62861 10416 1 1237668332576833972 247.585010 9552 137.3 2.2 0.21 0.11 0.68 0.01 13.73 0.01 Dprop Sloan 1.46 0.76 -22.19 0.07 1.02 0.08 10.74 0.06 10.96 0.01 "" "" 0.57 0.02 0.65 0.02 "" "" 10.13 0.05 -1.962012 0.15060 -51.8 -125.5 20.6 1
8.62889 334790 1 1237669682261065865 358.649170 12599 174.8 2.2 0.25 0.13 0.56 0.01 14.83 0.01 Dprop Sloan 1.24 0.68 -21.68 0.08 1.05 0.11 10.55 0.09 10.65 0.01 "" "" "" "" "" "" "" "" 10.30 0.05 -0.023576 0.15060 172.8 -4.1 26.2 1
8.62889 210154 1 1237660612899110989 168.064160 3308 94.2 17.3 0.09 0.05 0.17 0.01 16.00 0.01 Dprop Sloan 0.44 0.29 -19.14 0.46 0.56 0.33 9.20 0.30 9.25 0.16 8.76 0.04 "" "" "" "" -1.63 0.08 9.75 0.17 2.933273 0.15060 -91.1 19.3 14.1 1
8.62889 334790 1 1237669682261065865 358.649170 12599 174.8 2.2 0.25 0.13 0.56 0.01 14.83 0.01 Dprop Sloan 1.24 0.68 -21.68 0.08 1.05 0.11 10.55 0.09 10.65 0.01 "" "" "" "" "" "" "" "" 10.30 0.05 -0.023576 0.15060 172.8 -4.1 26.2 1
8.62889 210154 1 1237660612899110989 168.064160 3308 94.2 17.3 0.09 0.05 0.17 0.01 16.00 0.01 Dprop Sloan 0.44 0.29 -19.14 0.46 0.56 0.33 9.20 0.30 9.25 0.16 8.76 0.04 "" "" "" "" -1.63 0.08 9.75 0.17 2.933273 0.15060 -91.1 19.3 14.1 1
8.63194 240176 1 1237662237478682689 213.272080 7231 106.2 4.5 0.10 0.05 0.35 0.01 14.63 0.01 Dprop Sloan 0.87 0.53 -20.79 0.16 0.95 0.20 10.13 0.15 10.36 0.04 10.27 0.03 0.03 0.04 -0.02 0.05 0.03 0.11 9.44 0.06 -2.560885 0.15066 -87.8 -57.6 15.9 1
8.63222 334675 1 1237679034012467384 347.613310 6357 90.9 2.1 0.14 0.07 0.36 0.01 15.46 0.01 Dprop Sloan 0.56 0.36 -19.56 0.14 0.68 0.19 9.45 0.15 9.68 0.02 "" "" -0.75 0.07 "" "" "" "" 9.26 0.06 -0.216189 0.15066 87.8 -19.3 13.6 1
