# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
-0.15944 241947 1 1237648721248845970 221.315410 1652 27.7 4.3 0.12 0.06 0.65 0.01 14.94 0.01 Dprop Sloan 0.00 0.05 -17.35 0.34 0.65 0.08 8.55 0.15 6.11 0.26 "" "" "" "" "" "" "" "" 8.29 0.15 -2.420503 -0.00278 -20.8 -18.3 -0.1 1
-0.15806 222069 1 1237648721231544377 181.852910 6369 96.1 2.4 0.07 0.03 0.63 0.01 15.14 0.01 Dprop Sloan 0.71 0.42 -19.89 0.08 0.70 0.09 9.60 0.07 9.81 0.02 9.69 0.03 "" "" "" "" -0.48 0.08 9.50 0.06 -3.109253 -0.00276 -96.0 -3.1 -0.3 1
-0.15722 630746 1 1237657190903054376 355.093750 10869 150.1 2.4 0.11 0.05 0.87 0.01 14.87 0.01 Dprop Sloan 1.16 0.61 -21.10 0.04 0.71 0.04 10.08 0.03 10.40 0.01 10.28 0.04 0.09 0.04 0.28 0.02 0.32 0.07 10.00 0.05 -0.085630 -0.00274 149.5 -12.8 -0.4 1
-0.15417 231520 1 1237651504345317454 207.758760 7033 104.5 2.4 0.12 0.06 0.65 0.01 13.69 0.01 Dprop Sloan 1.26 0.67 -21.59 0.08 0.97 0.08 10.47 0.07 10.59 0.02 10.70 0.01 -0.42 0.05 -0.15 0.03 -0.15 0.06 10.14 0.05 -2.657111 -0.00269 -92.5 -48.7 -0.3 1
-0.15333 421104 1 1237660339090030669 44.091670 13048 183.5 2.3 0.22 0.11 0.93 0.01 14.84 0.01 Dprop Sloan 1.26 0.69 -21.62 0.04 0.97 0.04 10.47 0.03 10.63 0.01 10.64 0.02 0.24 0.02 0.37 0.02 -0.09 0.12 10.23 0.05 0.769545 -0.00268 131.8 127.7 -0.5 1
-0.15194 241274 1 1237648721247142089 217.441670 9004 132.0 2.3 0.14 0.07 0.18 0.01 14.81 0.01 Dprop Sloan 0.95 0.58 -21.30 0.23 0.96 0.32 10.34 0.24 10.74 0.02 10.55 0.07 0.50 0.02 0.40 0.03 0.33 0.08 9.85 0.06 -2.488112 -0.00265 -104.8 -80.2 -0.4 1
-0.14889 640860 1 1237648721217716376 150.208340 12828 188.2 2.4 0.12 0.06 0.85 0.01 15.21 0.01 Dprop Sloan 1.19 0.63 -21.27 0.04 0.77 0.04 10.20 0.03 10.48 0.01 10.27 0.04 -1.19 0.46 -0.01 0.03 0.23 0.10 9.91 0.06 2.621630 -0.00260 -163.3 93.5 -0.5 1
-0.14333 1382 1 1237666407918075971 28.670830 5595 77.9 2.4 0.11 0.05 0.77 0.01 12.90 0.01 Dprop Sloan 1.19 0.69 -21.69 0.08 1.17 0.06 10.64 0.05 10.65 0.03 10.80 0.01 -1.24 0.14 -0.89 0.03 -1.37 0.17 10.17 0.05 0.500400 -0.00250 68.3 37.4 -0.2 1
-0.14028 420128 1 1237666407922139159 37.907090 6089 85.0 2.4 0.09 0.05 0.38 0.01 14.18 0.01 Dprop Sloan 0.94 0.53 -20.73 0.14 0.60 0.18 9.86 0.14 10.25 0.02 10.06 0.06 0.20 0.03 0.22 0.03 0.28 0.10 9.14 0.07 0.661604 -0.00245 67.1 52.2 -0.2 1
-0.13889 847 1 1237666339190341773 19.768750 5242 79.8 15.3 0.11 0.06 0.10 0.01 15.12 0.01 Dprop Sloan 0.57 0.37 -19.81 0.51 0.75 0.42 9.60 0.36 9.79 0.17 9.54 0.06 "" "" "" "" -0.66 0.16 9.70 0.17 0.345030 -0.00242 75.1 27.0 -0.2 1
-0.13833 222694 1 1237648721235083437 189.979580 3065 45.5 2.4 0.07 0.04 0.39 0.02 16.95 0.04 Dprop Sloan 0.00 0.00 -16.37 0.17 0.58 0.18 8.10 0.15 8.15 0.05 "" "" "" "" "" "" "" "" 9.25 0.06 -2.967416 -0.00241 -44.8 -7.9 -0.1 1
-0.13694 211415 1 1237651835058454650 166.444150 9460 140.4 2.2 0.17 0.09 0.56 0.01 15.76 0.01 Dprop Sloan 0.88 0.46 -20.18 0.09 0.50 0.11 9.58 0.09 9.94 0.01 9.74 0.05 "" "" "" "" -0.17 0.07 9.77 0.06 2.904998 -0.00239 -136.5 32.9 -0.3 1
-0.13361 411445 1 1237666339188965520 16.639580 5439 75.9 2.3 0.11 0.06 0.32 0.01 15.46 0.01 Dprop Sloan 0.47 0.30 -19.15 0.16 0.60 0.21 9.23 0.16 9.52 0.03 9.42 0.04 -1.41 0.20 -0.80 0.04 -0.71 0.09 9.40 0.06 0.290415 -0.00233 72.7 21.7 -0.2 1
-0.13361 401226 1 1237657190909083725 8.785420 9049 124.4 2.2 0.06 0.03 0.43 0.01 14.92 0.01 Dprop Sloan 0.98 0.54 -20.78 0.12 0.55 0.16 9.85 0.12 10.14 0.02 9.98 0.04 -0.14 0.04 0.11 0.02 0.01 0.06 9.79 0.06 0.153335 -0.00233 122.9 19.0 -0.3 1
-0.13361 411445 1 1237666339188965520 16.639580 5439 75.9 2.3 0.11 0.06 0.32 0.01 15.46 0.01 Dprop Sloan 0.47 0.30 -19.15 0.16 0.60 0.21 9.23 0.16 9.52 0.03 9.42 0.04 -1.41 0.20 -0.80 0.04 -0.71 0.09 9.40 0.06 0.290415 -0.00233 72.7 21.7 -0.2 1
-0.13361 401226 1 1237657190909083725 8.785420 9049 124.4 2.2 0.06 0.03 0.43 0.01 14.92 0.01 Dprop Sloan 0.98 0.54 -20.78 0.12 0.55 0.16 9.85 0.12 10.14 0.02 9.98 0.04 -0.14 0.04 0.11 0.02 0.01 0.06 9.79 0.06 0.153335 -0.00233 122.9 19.0 -0.3 1
-0.13250 401438 1 1237657190910656722 12.510420 13335 185.7 2.5 0.11 0.06 0.65 0.01 15.41 0.01 Dprop Sloan 1.16 0.60 -21.10 0.07 0.63 0.09 10.03 0.07 10.41 0.01 10.30 0.04 -0.21 0.09 0.85 0.02 0.10 0.05 10.21 0.05 0.218348 -0.00231 181.3 40.2 -0.4 1
-0.13194 252070 1 1237648721253564588 232.072910 11271 163.3 2.2 0.25 0.13 0.54 0.01 15.15 0.01 Dprop Sloan 1.24 0.61 -21.20 0.09 0.37 0.12 9.89 0.09 10.30 0.01 10.25 0.04 -0.14 0.06 0.39 0.02 0.37 0.05 10.18 0.05 -2.232749 -0.00230 -100.4 -128.8 -0.4 1
-0.13194 630665 1 1237657190902006055 352.758330 2565 36.6 2.4 0.15 0.08 0.28 0.01 16.99 0.02 Dprop Sloan 0.00 0.00 -15.90 0.22 0.41 0.24 7.80 0.19 7.91 0.06 "" "" "" "" "" "" "" "" 8.72 0.07 -0.126391 -0.00230 36.3 -4.6 -0.1 1
-0.13194 252070 1 1237648721253564588 232.072910 11271 163.3 2.2 0.25 0.13 0.54 0.01 15.15 0.01 Dprop Sloan 1.24 0.61 -21.20 0.09 0.37 0.12 9.89 0.09 10.30 0.01 10.25 0.04 -0.14 0.06 0.39 0.02 0.37 0.05 10.18 0.05 -2.232749 -0.00230 -100.4 -128.8 -0.4 1
-0.13194 630665 1 1237657190902006055 352.758330 2565 36.6 2.4 0.15 0.08 0.28 0.01 16.99 0.02 Dprop Sloan 0.00 0.00 -15.90 0.22 0.41 0.24 7.80 0.19 7.91 0.06 "" "" "" "" "" "" "" "" 8.72 0.07 -0.126391 -0.00230 36.3 -4.6 -0.1 1
-0.13028 1526 1 1237666407918927888 30.549170 6032 84.2 2.3 0.09 0.05 0.77 0.01 13.35 0.01 Dprop Sloan 1.18 0.65 -21.40 0.07 0.87 0.06 10.32 0.05 10.53 0.02 "" "" 0.02 0.03 0.20 0.03 "" "" 9.45 0.05 0.533184 -0.00227 72.5 42.8 -0.2 1
-0.12694 241397 1 1237674602679042277 212.131670 7519 111.2 2.2 0.13 0.07 0.90 0.01 14.85 0.01 Dprop Sloan 1.01 0.52 -20.47 0.05 0.58 0.04 9.75 0.03 10.04 0.02 9.91 0.05 -0.17 0.03 0.12 0.02 0.03 0.04 10.07 0.05 -2.580789 -0.00222 -94.2 -59.1 -0.2 1
-0.12528 461 1 1237657190909935743 10.865830 4167 56.5 11.6 0.06 0.03 0.63 0.01 12.61 0.01 Dprop Sloan 1.13 0.63 -21.30 0.45 0.88 0.09 10.29 0.19 10.55 0.18 10.57 0.03 0.28 0.18 0.31 0.18 0.31 0.11 9.93 0.18 0.189645 -0.00219 55.5 10.7 -0.1 1
-0.11917 540924 1 1237648721247535218 218.363340 10512 153.5 2.4 0.13 0.07 0.32 0.01 17.14 0.01 Dprop Sloan 0.31 0.28 -19.00 0.15 0.94 0.21 9.41 0.16 9.60 0.01 "" "" -1.01 0.20 -0.10 0.02 "" "" 10.09 0.05 -2.472026 -0.00208 -120.4 -95.3 -0.3 1
-0.11806 222697 1 1237671765323350086 190.400010 4759 69.5 2.3 0.09 0.05 0.52 0.01 15.18 0.01 Dprop Sloan 0.54 0.31 -19.16 0.11 0.39 0.12 9.09 0.10 9.48 0.03 9.35 0.06 -0.71 0.04 -0.34 0.04 -0.40 0.04 9.57 0.05 -2.960078 -0.00206 -68.4 -12.5 -0.1 1
-0.11722 640702 1 1237648673992540336 237.707490 16505 237.6 2.3 0.26 0.13 0.72 0.02 16.96 0.01 Dprop Sloan 0.90 0.46 -20.11 0.06 0.57 0.07 9.60 0.05 10.05 0.01 9.83 0.05 -0.28 0.13 "" "" 0.01 0.05 10.18 0.07 -2.134407 -0.00205 -126.9 -200.9 -0.5 1
-0.11472 10229 1 1237648673994637807 242.432890 1508 24.5 2.3 0.40 0.20 0.46 0.02 17.34 0.03 Dprop Sloan 0.00 0.00 -14.81 0.23 0.13 0.15 7.17 0.14 7.71 0.08 "" "" -2.33 0.19 "" "" "" "" 8.99 0.09 -2.051933 -0.00200 -11.3 -21.7 -0.0 1
-0.11444 411273 1 1237666339190014082 19.013330 13836 193.2 2.3 0.10 0.05 0.58 0.01 14.23 0.01 Dprop Sloan 1.47 0.79 -22.44 0.08 1.01 0.11 10.84 0.08 10.94 0.01 11.07 0.02 0.43 0.03 0.40 0.02 0.21 0.11 10.26 0.05 0.331845 -0.00200 182.7 62.9 -0.4 1
-0.11444 411171 1 1237666339189686413 18.257920 11092 153.9 2.4 0.09 0.05 0.96 0.01 15.54 0.01 Dprop Sloan 0.96 0.52 -20.46 0.04 0.67 0.03 9.80 0.03 10.02 0.01 9.87 0.04 -0.39 0.10 -0.04 0.02 -0.11 0.05 9.88 0.05 0.318661 -0.00200 146.2 48.2 -0.3 1
-0.11444 411273 1 1237666339190014082 19.013330 13836 193.2 2.3 0.10 0.05 0.58 0.01 14.23 0.01 Dprop Sloan 1.47 0.79 -22.44 0.08 1.01 0.11 10.84 0.08 10.94 0.01 11.07 0.02 0.43 0.03 0.40 0.02 0.21 0.11 10.26 0.05 0.331845 -0.00200 182.7 62.9 -0.4 1
-0.11444 411171 1 1237666339189686413 18.257920 11092 153.9 2.4 0.09 0.05 0.96 0.01 15.54 0.01 Dprop Sloan 0.96 0.52 -20.46 0.04 0.67 0.03 9.80 0.03 10.02 0.01 9.87 0.04 -0.39 0.10 -0.04 0.02 -0.11 0.05 9.88 0.05 0.318661 -0.00200 146.2 48.2 -0.3 1
-0.11083 231654 1 1237651504342827037 202.120000 5174 75.2 2.3 0.09 0.04 0.48 0.01 14.41 0.01 Dprop Sloan 0.70 0.45 -20.16 0.12 0.96 0.14 9.89 0.11 10.12 0.03 10.12 0.03 -0.26 0.03 -0.26 0.03 -0.29 0.11 9.73 0.05 -2.755526 -0.00193 -69.7 -28.3 -0.1 1
-0.11028 620085 1 1237663543149330509 337.653320 1594 24.0 2.4 0.23 0.12 0.89 0.02 16.96 0.01 Dprop Sloan 0.00 0.00 -15.06 0.22 -0.40 0.04 6.89 0.09 7.63 0.09 "" "" -2.53 0.24 "" "" "" "" 7.85 0.11 -0.390023 -0.00192 22.2 -9.1 -0.0 1
-0.10889 12578 1 1237657190901284917 351.095400 2700 17.1 3.7 0.15 0.08 0.46 0.01 14.99 0.05 Dprop Sloan 0.00 0.00 -16.25 0.48 0.01 0.15 7.66 0.22 8.35 0.19 "" "" -2.11 0.21 "" "" "" "" 8.91 0.19 -0.155415 -0.00190 16.9 -2.6 -0.0 1
-0.10333 640697 1 1237648721255596436 236.760010 9752 141.2 2.2 0.29 0.15 0.30 0.01 16.46 0.01 Dprop Sloan 0.62 0.37 -19.64 0.17 0.74 0.23 9.52 0.17 9.76 0.01 9.79 0.03 -1.15 0.32 -0.73 0.06 -0.62 0.09 9.89 0.06 -2.150944 -0.00180 -77.4 -118.1 -0.3 1
-0.10333 641351 1 1237648721232593037 184.189160 12044 177.1 2.5 0.08 0.04 0.38 0.01 16.38 0.01 Dprop Sloan 0.76 0.44 -20.09 0.13 0.75 0.18 9.71 0.14 9.94 0.01 "" "" -1.16 0.46 -0.52 0.02 "" "" 10.11 0.06 -3.068478 -0.00180 -176.6 -12.9 -0.3 1
-0.10333 640697 1 1237648721255596436 236.760010 9752 141.2 2.2 0.29 0.15 0.30 0.01 16.46 0.01 Dprop Sloan 0.62 0.37 -19.64 0.17 0.74 0.23 9.52 0.17 9.76 0.01 9.79 0.03 -1.15 0.32 -0.73 0.06 -0.62 0.09 9.89 0.06 -2.150944 -0.00180 -77.4 -118.1 -0.3 1
-0.10333 641351 1 1237648721232593037 184.189160 12044 177.1 2.5 0.08 0.04 0.38 0.01 16.38 0.01 Dprop Sloan 0.76 0.44 -20.09 0.13 0.75 0.18 9.71 0.14 9.94 0.01 "" "" -1.16 0.46 -0.52 0.02 "" "" 10.11 0.06 -3.068478 -0.00180 -176.6 -12.9 -0.3 1
-0.10083 1527 1 1237666407918927886 30.550830 5850 81.6 2.2 0.09 0.05 0.69 0.01 12.57 0.01 Dprop Sloan 1.34 0.76 -22.16 0.08 1.11 0.08 10.79 0.06 10.82 0.02 "" "" -0.40 0.04 -0.13 0.03 "" "" 9.73 0.05 0.533213 -0.00176 70.3 41.5 -0.1 1
-0.10000 641104 1 1237648721225973840 169.195830 11799 173.8 2.3 0.17 0.09 0.47 0.01 15.66 0.01 Dprop Sloan 0.95 0.54 -20.81 0.11 0.89 0.14 10.10 0.11 10.37 0.01 "" "" 1.04 0.01 0.92 0.12 "" "" 10.03 0.06 2.953024 -0.00175 -170.7 32.6 -0.3 1
-0.09806 6200 1 1237648721225187390 167.355410 3865 57.9 2.2 0.14 0.07 0.44 0.01 13.39 0.01 Dprop Sloan 0.82 0.52 -20.68 0.14 1.04 0.16 10.15 0.12 10.35 0.03 10.13 0.04 -0.03 0.03 -0.03 0.04 -0.36 0.12 10.23 0.05 2.920903 -0.00171 -56.5 12.7 -0.1 1
-0.09778 641196 1 1237648721227612270 172.865830 12017 176.9 2.2 0.08 0.04 0.67 0.01 15.42 0.01 Dprop Sloan 1.10 0.58 -20.97 0.06 0.60 0.08 9.95 0.06 10.21 0.01 10.16 0.04 "" "" "" "" 0.14 0.06 10.25 0.05 3.017078 -0.00171 -175.5 22.0 -0.3 1
-0.09639 10264 1 1237648673994965546 243.236680 9226 133.1 2.3 0.44 0.23 0.68 0.01 13.26 0.01 Dprop Sloan 1.58 0.84 -22.73 0.08 1.01 0.08 10.95 0.06 11.09 0.02 "" "" 0.54 0.02 "" "" "" "" 10.52 0.05 -2.037904 -0.00168 -59.9 -118.8 -0.2 1
-0.09639 411101 1 1237666339190735124 20.663330 5912 82.6 2.2 0.12 0.06 0.72 0.01 16.76 0.01 Dprop Sloan 0.07 0.13 -17.90 0.07 0.57 0.07 8.71 0.06 8.93 0.02 8.79 0.05 "" "" "" "" -1.18 0.04 9.23 0.06 0.360643 -0.00168 77.3 29.1 -0.1 1
-0.09639 10264 1 1237648673994965546 243.236680 9226 133.1 2.3 0.44 0.23 0.68 0.01 13.26 0.01 Dprop Sloan 1.58 0.84 -22.73 0.08 1.01 0.08 10.95 0.06 11.09 0.02 "" "" 0.54 0.02 "" "" "" "" 10.52 0.05 -2.037904 -0.00168 -59.9 -118.8 -0.2 1
-0.09639 411101 1 1237666339190735124 20.663330 5912 82.6 2.2 0.12 0.06 0.72 0.01 16.76 0.01 Dprop Sloan 0.07 0.13 -17.90 0.07 0.57 0.07 8.71 0.06 8.93 0.02 8.79 0.05 "" "" "" "" -1.18 0.04 9.23 0.06 0.360643 -0.00168 77.3 29.1 -0.1 1
-0.09389 540926 3 "" 224.400830 12511 181.6 2.2 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.78 0.06 -2.366652 -0.00164 -129.7 -127.1 -0.3 1
-0.09361 411091 1 1237666339189948761 18.892500 9165 126.4 2.4 0.10 0.05 0.25 0.01 16.93 0.02 Dprop Sloan 0.43 0.24 -18.77 0.19 0.40 0.26 8.94 0.20 9.23 0.02 9.14 0.05 "" "" "" "" -0.60 0.06 9.93 0.05 0.329736 -0.00163 119.6 40.9 -0.2 1
-0.09333 241477 1 1237648721245896977 214.708340 15766 228.8 2.2 0.15 0.08 0.52 0.01 15.01 0.01 Dprop Sloan 1.37 0.73 -22.07 0.09 0.73 0.12 10.49 0.09 10.73 0.01 10.64 0.03 0.21 0.04 0.36 0.02 0.42 0.07 10.47 0.05 -2.535818 -0.00163 -188.1 -130.3 -0.4 1
-0.09306 641021 1 1237648721223417993 163.259580 11554 170.3 2.3 0.16 0.08 0.42 0.01 16.85 0.01 Dprop Sloan 0.57 0.36 -19.53 0.12 0.67 0.16 9.43 0.12 9.58 0.01 "" "" -1.22 0.43 -0.53 0.02 "" "" 9.93 0.06 2.849417 -0.00162 -163.1 49.1 -0.3 1
-0.09250 411164 1 1237666407918600316 29.759580 8362 115.6 2.3 0.09 0.05 0.74 0.01 16.39 0.01 Dprop Sloan 0.55 0.29 -19.00 0.06 0.46 0.06 9.07 0.05 9.42 0.02 9.24 0.04 "" "" "" "" -0.47 0.05 9.34 0.07 0.519403 -0.00161 100.4 57.4 -0.2 1
-0.08972 410405 1 1237666407918338291 29.252500 13537 189.5 2.2 0.11 0.06 0.77 0.01 14.30 0.01 Dprop Sloan 1.50 0.77 -22.23 0.05 0.84 0.06 10.63 0.05 10.94 0.01 10.79 0.04 0.73 0.01 0.75 0.02 0.82 0.10 10.41 0.05 0.510552 -0.00157 165.3 92.6 -0.3 1
-0.08778 401238 1 1237657190909804710 10.538330 5384 75.4 2.2 0.06 0.03 0.64 0.01 16.37 0.01 Dprop Sloan 0.15 0.16 -18.08 0.09 0.54 0.09 8.76 0.07 9.04 0.03 8.74 0.05 -1.07 0.10 -0.94 0.03 -0.89 0.05 9.10 0.07 0.183929 -0.00153 74.1 13.8 -0.1 1
-0.08417 212174 1 1237648721226432724 170.237490 7591 113.7 2.3 0.12 0.06 0.41 0.01 15.48 0.01 Dprop Sloan 0.75 0.43 -20.03 0.13 0.60 0.17 9.58 0.13 9.95 0.02 9.76 0.05 -0.44 0.05 -0.22 0.02 -0.18 0.06 9.86 0.05 2.971205 -0.00147 -112.1 19.3 -0.2 1
-0.08389 630890 1 1237657190904627548 358.655400 2328 32.8 2.2 0.10 0.05 0.61 0.05 18.70 0.05 Dprop Sloan 0.00 0.00 -13.94 0.17 -0.11 0.11 6.65 0.10 7.50 0.07 "" "" "" "" "" "" "" "" 8.23 0.08 -0.023468 -0.00146 32.8 -0.8 -0.0 1
-0.08361 630887 1 1237666407900446894 348.339170 8430 115.2 2.2 0.17 0.09 0.75 0.01 15.95 0.01 Dprop Sloan 0.70 0.37 -19.49 0.06 0.45 0.06 9.26 0.05 9.60 0.02 9.42 0.03 "" "" "" "" -0.33 0.05 9.62 0.05 -0.203520 -0.00146 112.8 -23.3 -0.2 1
-0.08333 7870 1 1237648721235410986 190.633740 1720 14.4 2.9 0.08 0.04 0.40 0.01 11.88 0.01 Dprop Sloan 0.44 0.29 -19.07 0.45 0.74 0.17 9.30 0.22 8.51 0.17 "" "" -1.41 0.18 -0.74 0.18 "" "" 9.33 0.18 -2.955999 -0.00145 -14.2 -2.7 -0.0 1
-0.08278 252471 1 1237648721255203033 235.834990 8745 126.9 2.3 0.30 0.16 0.68 0.01 16.79 0.01 Dprop Sloan 0.50 0.28 -18.94 0.07 0.46 0.08 9.05 0.06 9.27 0.02 9.15 0.05 -1.02 0.20 -0.47 0.04 -0.67 0.03 9.36 0.07 -2.167088 -0.00144 -71.3 -105.0 -0.2 1
-0.07667 212562 1 1237648721225908407 168.966660 11761 173.2 2.3 0.19 0.10 0.31 0.01 15.21 0.01 Dprop Sloan 1.00 0.61 -21.39 0.16 1.24 0.22 10.58 0.17 11.03 0.01 "" "" 1.19 0.01 1.07 0.03 "" "" 10.26 0.05 2.949025 -0.00134 -170.0 33.1 -0.2 1
-0.07417 12183 1 1237663543151165576 341.767910 4669 50.6 9.9 0.28 0.15 0.33 0.01 14.28 0.01 Dprop Sloan 0.61 0.36 -19.56 0.45 0.58 0.21 9.38 0.23 9.66 0.17 9.82 0.03 -1.15 0.21 -0.65 0.17 -0.42 0.05 9.35 0.18 -0.318210 -0.00129 48.1 -15.8 -0.1 1
-0.07000 401284 1 1237657190907314345 4.820830 11937 165.5 2.3 0.08 0.04 0.91 0.03 17.05 0.02 Dprop Sloan 0.54 0.31 -19.10 0.04 0.56 0.04 9.19 0.03 9.40 0.02 9.43 0.05 -0.54 0.14 -0.25 0.02 -0.31 0.06 9.58 0.07 0.084139 -0.00122 164.9 13.9 -0.2 1
-0.06972 420266 1 1237657070628831281 42.416250 8477 118.1 2.3 0.18 0.09 0.62 0.01 13.57 0.01 Dprop Sloan 1.40 0.73 -22.04 0.08 0.86 0.10 10.57 0.07 10.80 0.02 10.85 0.03 0.39 0.02 0.41 0.02 0.49 0.11 9.96 0.05 0.740303 -0.00122 87.2 79.7 -0.1 1
-0.06667 401649 1 1237657190909280416 9.295000 10411 143.9 2.5 0.07 0.04 0.23 0.01 15.92 0.01 Dprop Sloan 0.73 0.44 -20.18 0.19 0.71 0.27 9.72 0.20 10.05 0.02 9.98 0.04 -0.40 0.07 -0.31 0.02 -0.22 0.10 9.85 0.05 0.162228 -0.00116 142.0 23.2 -0.2 1
-0.06611 501814 2 1237648721221779718 159.504170 5888 89.3 2.3 0.23 0.12 0.75 0.07 18.64 0.06 Dprop Sloan "" "" "" "" "" "" "" "" 8.24 0.05 "" "" -2.79 1.24 "" "" "" "" 9.12 0.06 2.783873 -0.00115 -83.6 31.3 -0.1 1
-0.06500 401644 1 1237657190909739136 10.349580 3989 55.5 2.3 0.07 0.03 0.89 0.02 15.67 0.01 Dprop Sloan 0.13 0.16 -18.09 0.09 0.72 0.04 8.89 0.05 8.98 0.04 9.16 0.03 -2.77 0.98 -1.16 0.04 -1.08 0.02 9.10 0.06 0.180634 -0.00113 54.6 10.0 -0.1 1
-0.06389 9006 1 1237674602141843527 211.274150 7593 112.3 2.3 0.14 0.07 0.52 0.01 13.59 0.01 Dprop Sloan 1.35 0.71 -21.94 0.10 0.87 0.12 10.54 0.10 10.74 0.02 10.81 0.03 0.22 0.02 0.37 0.02 0.36 0.10 10.09 0.05 -2.595756 -0.00112 -96.0 -58.3 -0.1 1
