# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
-0.20778 10288 1 1237648704066552032 243.603350 2045 34.4 7.1 0.44 0.23 0.23 0.01 12.99 0.01 Dprop Sloan 0.60 0.44 -20.20 0.49 1.17 0.28 10.05 0.28 10.32 0.18 "" "" -0.42 0.18 "" "" "" "" 9.87 0.18 -2.031505 -0.00363 -15.3 -30.8 -0.1 1
-0.20611 7755 1 1237648721234624750 188.911240 6912 103.6 2.3 0.08 0.04 0.20 0.01 15.07 0.01 Dprop Sloan 0.76 0.46 -20.36 0.21 0.82 0.29 9.87 0.22 10.13 0.02 10.05 0.03 -0.39 0.05 -0.36 0.03 -0.32 0.09 9.87 0.05 -2.986062 -0.00360 -102.3 -16.0 -0.4 1
-0.20583 6612 1 1237648721228464139 174.763750 5420 80.2 15.7 0.08 0.04 0.25 0.01 13.37 0.01 Dprop Sloan 1.09 0.63 -21.57 0.46 1.03 0.26 10.50 0.26 10.64 0.17 10.71 0.03 -0.28 0.17 -0.28 0.17 -0.21 0.14 9.91 0.18 3.050203 -0.00359 -79.9 7.3 -0.3 1
-0.20417 241544 1 1237648721246945526 217.084580 7179 106.0 2.1 0.14 0.07 0.69 0.01 14.10 0.01 Dprop Sloan 1.18 0.61 -21.20 0.07 0.80 0.08 10.19 0.06 10.96 0.02 "" "" -0.24 0.03 -0.05 0.02 "" "" 10.00 0.05 -2.494345 -0.00356 -84.6 -63.9 -0.4 1
-0.19556 620676 1 1237663543149396153 337.774990 1557 23.4 2.3 0.22 0.11 0.64 0.03 16.77 0.03 Dprop Sloan 0.00 0.00 -15.19 0.22 0.20 0.09 7.37 0.11 7.83 0.09 "" "" -2.63 0.26 "" "" "" "" 7.87 0.11 -0.387900 -0.00341 21.7 -8.9 -0.1 1
-0.18750 211265 1 1237648721226104980 169.387080 12154 178.9 2.3 0.19 0.10 0.38 0.01 14.11 0.01 Dprop Sloan 1.41 0.79 -22.59 0.13 1.07 0.18 10.93 0.14 11.24 0.01 11.11 0.05 0.92 0.01 0.81 0.03 0.66 0.20 10.30 0.05 2.956362 -0.00327 -175.8 32.9 -0.6 1
-0.17944 640508 1 1237648721252188277 228.965420 15234 220.2 2.4 0.18 0.09 0.96 0.02 16.48 0.01 Dprop Sloan 0.96 0.50 -20.34 0.03 0.75 0.03 9.81 0.03 10.09 0.01 10.00 0.04 -0.52 0.13 "" "" -0.19 0.07 10.27 0.05 -2.286985 -0.00313 -144.6 -166.1 -0.7 1
-0.17139 221529 1 1237648721231872184 182.647920 15035 219.8 2.4 0.09 0.04 0.76 0.01 14.55 0.01 Dprop Sloan 1.45 0.78 -22.30 0.04 1.08 0.06 10.82 0.05 10.96 0.01 11.07 0.01 0.48 0.03 0.59 0.02 0.14 0.02 10.22 0.06 -3.095378 -0.00299 -219.6 -10.2 -0.7 1
-0.16639 630715 1 1237657190904758546 359.015810 7804 106.4 2.3 0.12 0.06 0.34 0.01 15.10 0.01 Dprop Sloan 0.85 0.46 -20.32 0.15 0.41 0.20 9.57 0.15 9.86 0.02 9.73 0.04 "" "" "" "" -0.22 0.07 9.72 0.06 -0.017177 -0.00290 106.4 -1.8 -0.3 1
-0.16611 550123 1 1237668649851945123 240.136670 7265 105.4 2.2 0.41 0.21 0.75 0.01 14.77 0.01 Dprop Sloan 1.03 0.53 -20.62 0.07 0.57 0.06 9.80 0.05 10.10 0.02 9.88 0.03 -0.36 0.06 0.11 0.04 -0.13 0.05 9.92 0.05 -2.092010 -0.00290 -52.5 -91.4 -0.3 1
-0.16222 12174 1 1237663543150837809 341.101260 4852 68.2 15.0 0.21 0.11 0.67 0.01 12.02 0.01 Dprop Sloan 1.43 0.79 -22.40 0.48 1.08 0.08 10.86 0.20 10.41 0.19 11.08 0.01 0.28 0.19 0.33 0.19 0.21 0.05 10.02 0.20 -0.329845 -0.00283 64.5 -22.1 -0.2 1
